"ACCENUMB"	"bio_15"	"bio_4"	"bio_3"	"bio_5"	"bio_6"	"bio_12"	"bio_16"	"bio_18"	"bio_19"	"bio_17"	"bio_13"	"bio_14"	"bio_2"	"bio_7"	"bio_1"	"bio_8"	"bio_10"	"bio_11"	"bio_9"
"1893443412"	63.8400001525879	1989.16003417969	69	358.040008544922	159.080001831055	1151.71997070312	531.039978027344	303.760009765625	119.080001831055	103.080001831055	200.800003051758	29	138.199996948242	198.960006713867	260.559997558594	275.480010986328	280.160003662109	232	241.839996337891
"1893443413"	65.120002746582	2108.52001953125	65.6800003051758	354.640014648438	156.160003662109	1050.35998535156	463.920013427734	289.640014648438	91.6800003051758	79.4800033569336	189.279998779297	23.2000007629395	131.240005493164	198.479995727539	256.040008544922	265.079986572266	277.760009765625	226.080001831055	237.160003662109
"1893443430"	61.3600006103516	2202.76000976562	63	345.200012207031	150.720001220703	1083.64001464844	465.799987792969	294.480010986328	111.120002746582	94	198.800003051758	28.2800006866455	123.120002746582	194.479995727539	250.320007324219	266.040008544922	273.320007324219	219.160003662109	249.360000610352
"1893443436"	55.0400009155273	1712.23999023438	64.120002746582	329.480010986328	175.839996337891	1451	570.840026855469	358.359985351562	255	127.360000610352	234.520004272461	39.9199981689453	99.1600036621094	153.639999389648	254.839996337891	264.440002441406	271.559997558594	230.559997558594	251.320007324219
"1893443438"	58.5200004577637	1940.11999511719	62.8800010681152	332.559997558594	163.199996948242	1265.23999023438	518.080017089844	337.920013427734	158.039993286133	107.639999389648	203.800003051758	33	107.440002441406	169.360000610352	250.479995727539	265.399993896484	268.880004882812	222.679992675781	246.160003662109
"1893443459"	61.560001373291	2090.63989257812	66.9199981689453	339.399993896484	163.720001220703	959.239990234375	427.359985351562	389.679992675781	119.480003356934	84.9199981689453	170.080001831055	22.5599994659424	118.160003662109	175.679992675781	255.880004882812	274.760009765625	276.119995117188	225.360000610352	247.960006713867
"1893443463"	62.6800003051758	2108.19995117188	66.0400009155273	352.959991455078	153.039993286133	1055.56005859375	460.679992675781	287.559997558594	104.160003662109	85.6800003051758	182.320007324219	26.4799995422363	133.039993286133	199.919998168945	253.160003662109	268.079986572266	275.040008544922	223.240005493164	234.320007324219
"1893443476"	60.8800010681152	2200.80004882812	63.0400009155273	343.399993896484	150.360000610352	1089.64001464844	464.720001220703	296.079986572266	115.080001831055	94.4800033569336	198.039993286133	28	122.480003356934	193.039993286133	249.399993896484	265.239990234375	271.880004882812	218.240005493164	247.559997558594
"1893443582"	59.5200004577637	1795.31994628906	68.4000015258789	341.320007324219	160.720001220703	1126.16003417969	474.600006103516	415.320007324219	110.040000915527	110.040000915527	172.759994506836	33.0800018310547	124.639999389648	180.600006103516	254.880004882812	270.720001220703	272	227.960006713867	227.960006713867
"1893443976"	62.4000015258789	2151.0400390625	66.0800018310547	358	157.559997558594	1105.88000488281	499	296.399993896484	104.120002746582	97.7200012207031	193.759994506836	29.7199993133545	133.399993896484	200.440002441406	258.359985351562	273.720001220703	280.760009765625	228.199996948242	238.520004272461
"1893443988"	65.2399978637695	2189.84008789062	65.6800003051758	360.480010986328	156.399993896484	1056.11999511719	484.279998779297	281.799987792969	91.4800033569336	85.1600036621094	191.759994506836	26.8799991607666	134.960006713867	204.080001831055	258.959991455078	274.119995117188	281.559997558594	227.800003051758	239.119995117188
"1893444013"	72.3600006103516	1945	64.7600021362305	335.880004882812	177.279998779297	1011.08001708984	506.920013427734	356.760009765625	95.5999984741211	63.7999992370605	190.919998168945	17.6800003051758	103.360000610352	158.600006103516	258.040008544922	273.920013427734	276.920013427734	230	254.440002441406
"1893559738"	105.800003051758	1817.92004394531	68.879997253418	360.880004882812	121.080001831055	804.039978027344	497.279998779297	236.160003662109	17.7999992370605	12	177.119995117188	1.8400000333786	166.240005493164	239.800003051758	239	245.520004272461	262.440002441406	214.720001220703	216.320007324219
"1893559749"	108.680000305176	2015	66.879997253418	377.200012207031	123.23999786377	873.679992675781	547.599975585938	262.320007324219	14.960000038147	12.039999961853	200.559997558594	2	170.960006713867	253.960006713867	250.360000610352	258.320007324219	276.359985351562	223.039993286133	225.119995117188
"1893559773"	107.23999786377	1860.35998535156	68.4400024414062	363.160003662109	120.839996337891	812.200012207031	505.399993896484	247.639999389648	16.1200008392334	11.6000003814697	181.720001220703	1.75999999046326	166.800003051758	242.320007324219	240.199996948242	247.240005493164	264.359985351562	215.479995727539	217.240005493164
"1893559781"	105.440002441406	1736.35998535156	69.5599975585938	355.119995117188	119.199996948242	805.599975585938	500.480010986328	239.240005493164	18.5200004577637	12.2799997329712	178.919998168945	1.75999999046326	165.119995117188	235.919998168945	234.880004882812	241.360000610352	257.440002441406	211.800003051758	213.080001831055
"1893559785"	108.680000305176	2015	66.879997253418	377.200012207031	123.23999786377	873.679992675781	547.599975585938	262.320007324219	14.960000038147	12.039999961853	200.559997558594	2	170.960006713867	253.960006713867	250.360000610352	258.320007324219	276.359985351562	223.039993286133	225.119995117188
"1893559786"	108.400001525879	1919.9599609375	67.879997253418	367.640014648438	121.120002746582	823	514.159973144531	250.919998168945	14.4399995803833	10.9200000762939	185.639999389648	1.63999998569489	168.399993896484	246.520004272461	243.039993286133	250.479995727539	267.839996337891	217.399993896484	218.960006713867
"1893559797"	107.23999786377	1860.35998535156	68.4400024414062	363.160003662109	120.839996337891	812.200012207031	505.399993896484	247.639999389648	16.1200008392334	11.6000003814697	181.720001220703	1.75999999046326	166.800003051758	242.320007324219	240.199996948242	247.240005493164	264.359985351562	215.479995727539	217.240005493164
"1893559817"	110.360000610352	2030.23999023438	67.120002746582	376.480010986328	121.360000610352	869.400024414062	548.119995117188	266.920013427734	13.6000003814697	11.5600004196167	201.039993286133	1.96000003814697	172.600006103516	255.119995117188	248.919998168945	257.200012207031	275.119995117188	221.479995727539	223.399993896484
"1893559824"	107.23999786377	1860.35998535156	68.4400024414062	363.160003662109	120.839996337891	812.200012207031	505.399993896484	247.639999389648	16.1200008392334	11.6000003814697	181.720001220703	1.75999999046326	166.800003051758	242.320007324219	240.199996948242	247.240005493164	264.359985351562	215.479995727539	217.240005493164
"1893559827"	108.680000305176	2015	66.879997253418	377.200012207031	123.23999786377	873.679992675781	547.599975585938	262.320007324219	14.960000038147	12.039999961853	200.559997558594	2	170.960006713867	253.960006713867	250.360000610352	258.320007324219	276.359985351562	223.039993286133	225.119995117188
"1893559860"	108.680000305176	2015	66.879997253418	377.200012207031	123.23999786377	873.679992675781	547.599975585938	262.320007324219	14.960000038147	12.039999961853	200.559997558594	2	170.960006713867	253.960006713867	250.360000610352	258.320007324219	276.359985351562	223.039993286133	225.119995117188
"1893566017"	65.1600036621094	1713.92004394531	63.0400009155273	310.480010986328	145.639999389648	2316.23999023438	1095.52001953125	416.239990234375	315.519989013672	168.960006713867	396	42.6399993896484	104.720001220703	164.839996337891	226.679992675781	236.839996337891	246.119995117188	202.919998168945	229.559997558594
"1893566037"	58.2400016784668	1777.88000488281	63.5999984741211	325.359985351562	156.440002441406	2825.84008789062	1223.80004882812	541.719970703125	426.040008544922	240.479995727539	445.239990234375	58.1599998474121	108.23999786377	168.919998168945	240.399993896484	249.720001220703	259.679992675781	215.199996948242	239.639999389648
"1893566075"	56.0400009155273	1812.92004394531	63.1199989318848	339.839996337891	167.679992675781	3558	1522.80004882812	667.719970703125	545.960021972656	315.279998779297	548.880004882812	76.5599975585938	109.480003356934	172.160003662109	252.800003051758	259.559997558594	272.640014648438	227.240005493164	252.160003662109
"1893589904"	97.2399978637695	4962.31982421875	54.0800018310547	372.040008544922	58.0400009155273	730.159973144531	463.359985351562	417.920013427734	116.040000915527	34.0400009155273	193.360000610352	6.23999977111816	171.919998168945	314	217.720001220703	269.880004882812	276.480010986328	152.880004882812	210.440002441406
"1893746645"	94.4400024414062	2223.43994140625	64.1999969482422	348.799987792969	127.480003356934	547.799987792969	306.399993896484	164.600006103516	17.4400005340576	15.6400003433228	116.639999389648	4.40000009536743	143.320007324219	221.320007324219	239.559997558594	249.759994506836	266.959991455078	208.679992675781	220.759994506836
"1893746646"	82.9199981689453	2798.84008789062	61.7200012207031	308.160003662109	77.9199981689453	1505.88000488281	785.679992675781	520.960021972656	104.720001220703	91.1600036621094	365.440002441406	27.7600002288818	143.119995117188	230.240005493164	196.600006103516	217.440002441406	225.919998168945	156.960006713867	169.479995727539
"1893746647"	92.4000015258789	1417.28002929688	73.8000030517578	304.679992675781	65.4000015258789	1009.64001464844	566.919982910156	298.519989013672	34.7200012207031	34.7200012207031	192.039993286133	9.03999996185303	177.720001220703	239.279998779297	191.919998168945	198.479995727539	208.800003051758	171.479995727539	172.880004882812
"1893746648"	112.519996643066	1370.71997070312	70.8399963378906	333.600006103516	160.960006713867	757.039978027344	476.880004882812	221.880004882812	3.88000011444092	3.83999991416931	188.720001220703	0.720000028610229	122.959999084473	172.639999389648	251.440002441406	259.200012207031	266.679992675781	231.880004882812	235.679992675781
"1893746650"	72.0400009155273	2182.60009765625	59.560001373291	285.600006103516	112.639999389648	1369	640.559997558594	402.720001220703	122.800003051758	115.639999389648	265.320007324219	37.1599998474121	103.839996337891	172.960006713867	199.559997558594	215.320007324219	222.240005493164	168.440002441406	175.479995727539
"1893746651"	48.560001373291	2620.32006835938	56.0800018310547	302.640014648438	128.919998168945	1652.76000976562	674.52001953125	497.799987792969	233.839996337891	217.279998779297	287.239990234375	70.1600036621094	98.1999969482422	173.720001220703	218.520004272461	240.360000610352	245.800003051758	182.160003662109	192
