INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	NAMECTY	ADM1	ADM2	ADM3	ADM4	COLLSITE	DECLATITUDE	LATITUDE	DECLONGITUDE	LONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	REMARKS
E	E00687344	AR5391	NA	NA	NA	NA	Verbascum	bottae 	(Defl.) Huber-Morath	NA	NA	NA	NA	NA	YEM	Yemen	Governorate	District	NA	NA	"Jabal Raymah, road from Al Jabin to Suq Ar Ribat, Raymah"	14.680508	NA	43.656379	NA	NA	NA	200	1800	19840322	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	NA	0	NA
K	AMZ116	IS717	NA	NA	NA	NA	Verbascum 	decaisneanum 	O. Kuntze	NA	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"North Hijaz, Jabal Dabbagh, Tabuk"	28.740136	NA	35.327953	NA	NA	NA	200	1677	19780504	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E00066909	IS5260	NA	NA	NA	NA	Verbascum 	decaisneanum 	O. Kuntze	NA	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Jabal Dabbagh, 100 km SW of Tabuk, Tabuk"	27.855838	NA	35.746548	NA	NA	NA	200	1677	19850411	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
E	E01000561	IS8204	NA	NA	NA	NA	Verbascum 	decaisneanum 	O. Kuntze	NA	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Jabal Al-Lawz, south of Aqaba, Tabuk"	28.691405	NA	35.331819	NA	NA	NA	200	1707	19920505	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
KSU	AMZ117	JT23970	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Disah, wadi Qaraqir, Tabuk"	27.635797	NA	36.573516	NA	NA	NA	200	NA	20130308	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
KSU	AMZ118	JT23742	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Disah, SW of Tabuk, Tabuk"	27.643458	NA	36.507926	NA	NA	NA	200	NA	20140401	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ119	AA78	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.632667	NA	36.568283	NA	NA	NA	100	737	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ120	AA79	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.632517	NA	36.5676	NA	NA	NA	100	737	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ121	AA80	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.6326	NA	36.56745	NA	NA	NA	100	735	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ122	AA81	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.63345	NA	36.56665	NA	NA	NA	100	731	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ123	AA82	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.634133	NA	36.566483	NA	NA	NA	100	736	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ124	AA83	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.634683	NA	36.564467	NA	NA	NA	100	741	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ125	AA84	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.636183	NA	36.560883	NA	NA	NA	100	719	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ126	AA85	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.63545	NA	36.558	NA	NA	NA	100	728	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	10;50	0	NA
MUZ	AMZ127	AA86	NA	NA	NA	NA	Verbascum 	deserticola 	(Hemaid)	var. sheilae 	 A.Alzahrani	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Al-Disah, Tabuk"	27.635367	NA	36.55785	NA	NA	NA	100	722	20200821	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	10;50	0	NA
K	AMZ128	IS8215	NA	NA	NA	NA	Verbascum 	deserticola 	(Murb.) Huber-Morath	var. deserticola	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Wadi Buwat, between Medina and Yanbo Al-Nakal, Medina"	24.282095	NA	38.592823	NA	NA	NA	200	853	19920506	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA
MUZ	AMZ129	AA152	NA	NA	NA	NA	Verbascum 	deserticola 	(Murb.) Huber-Morath	var. deserticola	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Road to Jabal Al-Figrah, Medina"	24.323267	NA	39.084267	NA	NA	NA	100	930	20210307	NA	NA	100	NA	61	NA	NA	NA	NA	NA	NA	10;50	0	NA
MUZ	AMZ130	AA147	NA	NA	NA	NA	Verbascum 	deserticola 	(Murb.) Huber-Morath	var. deserticola	NA	NA	NA	NA	SAU	Saudi Arabia	Region	NA	NA	NA	"Tabuk road between Duba and Shigry, near Ras Al-Khuraytah primary school, Tabuk"	27.7943	NA	36.002583	NA	NA	NA	100	929	20210302	NA	NA	100	NA	10	NA	NA	NA	NA	NA	NA	10;50	0	NA
