VARID	VARCODE	VARDESCR_EN	VARDESCR	VARUNIDAD	VARFUENTE	VARMODULO	FUENTELINK
163	t_oc_dens	Soil organic carbon density in kg per cubic-m	Organic carbon dens top	kg / cubic-m	Soilgrids	Edafica	https://soilgrids.org
164	s_oc_dens	Soil organic carbon density in kg per cubic-m	Organic carbon dens sub	kg / cubic-m	Soilgrids	Edafica	https://soilgrids.org
165	t_oc_stock	Soil organic carbon stock in tons per ha	Organic carbon stock top	tonnes / ha	Soilgrids	Edafica	https://soilgrids.org
166	s_oc_stock	Soil organic carbon stock in tons per ha	Organic carbon stock sub	tonnes / ha	Soilgrids	Edafica	https://soilgrids.org
167	t_oc_cont	Soil organic carbon content (fine earth fraction) in g per kg	Organic carbon content top	g / kg	Soilgrids	Edafica	https://soilgrids.org
168	s_oc_cont	Soil organic carbon content (fine earth fraction) in g per kg	Organic carbon content sub	g / kg	Soilgrids	Edafica	https://soilgrids.org
169	t_ph_hox	Soil pH x 10 in H2O	Soil pH H2O top	index*10	Soilgrids	Edafica	https://soilgrids.org
170	s_ph_hox	Soil pH x 10 in H2O	Soil pH H2O sub	index*10	Soilgrids	Edafica	https://soilgrids.org
171	t_ph_kcl	Soil pH x 10 in KCl	Soil pH KCl top	index*10	Soilgrids	Edafica	https://soilgrids.org
172	s_ph_kcl	Soil pH x 10 in KCl	Soil pH KCl sub	index*10	Soilgrids	Edafica	https://soilgrids.org
173	sodicity	Sodic soil grade	Sodic soil grade	grade	Soilgrids	Edafica	https://soilgrids.org
174	t_silt_cont	Silt content (2-50 micro meter) mass fraction in %	Silt content top	%	Soilgrids	Edafica	https://soilgrids.org
175	s_silt_cont	Silt content (2-50 micro meter) mass fraction in %	Silt content sub	%	Soilgrids	Edafica	https://soilgrids.org
176	t_sand_cont	Sand content (50-2000 micro meter) mass fraction in %	Sand content top	%	Soilgrids	Edafica	https://soilgrids.org
177	s_sand_cont	Sand content (50-2000 micro meter) mass fraction in %	Sand content sub	%	Soilgrids	Edafica	https://soilgrids.org
178	t_soilwater_cap	Available soil water capacity (volumetric fraction) until wilting point	Avail soil water cap top	%	Soilgrids	Edafica	https://soilgrids.org
179	s_soilwater_cap	Available soil water capacity (volumetric fraction) until wilting point	Avail soil water cap sub	%	Soilgrids	Edafica	https://soilgrids.org
