"INSTCODE"	"ACCENUMB"	"COLLNUMB"	"COLLCODE"	"COLLNAME"	"COLLINSTADDRESS"	"COLLMISSID"	"GENUS"	"SPECIES"	"SPAUTHOR"	"SUBTAXA"	"SUBTAUTHOR"	"CROPNAME"	"ACCENAME"	"ACQDATE"	"ORIGCTY"	"NAMECTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"DECLATITUDE"	"LATITUDE"	"DECLONGITUDE"	"LONGITUDE"	"COORDUNCERT"	"COORDDATUM"	"GEOREFMETH"	"ELEVATION"	"COLLDATE"	"BREDCODE"	"BREDNAME"	"SAMPSTAT"	"ANCEST"	"COLLSRC"	"DONORCODE"	"DONORNAME"	"DONORNUMB"	"OTHERNUMB"	"DUPLSITE"	"DUPLINSTNAME"	"STORAGE"	"MLSSTAT"	"REMARKS"	"SUITQUAL"	"LOCALQUAL"	"COORQUAL"	"TOTALQUAL"	"TOTALQUAL100"
NA	"2629457875"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"San Andres Tuxtla"	NA	NA	NA	18.5847222222222	"183505N"	-95.0738888888889	"0950426W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"2629457876"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Queretaro de arteaga"	"Arroyo Seco"	NA	NA	NA	21.1880555555556	"211117N"	-99.5691666666667	"0993409W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"2629457877"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Colima"	"Comala"	NA	NA	NA	19.4366666666667	"192612N"	-103.708055555556	"1034229W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629458873"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Chiapas"	"Ocosingo"	NA	NA	NA	16.1016666666667	"160606N"	-90.9597222222222	"0905735W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
NA	"2629458874"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Michoacan de ocampo"	"Tocumbo"	NA	NA	NA	19.5138888888889	"193050N"	-102.666666666667	"1024000W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629458876"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Hueytamalco"	NA	NA	NA	19.9616666666667	"195742N"	-97.2130555555556	"0971247W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	6.66666666666667	17	43.6666666666667	72.7777777777778
NA	"2629458877"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Emiliano Zapata"	NA	NA	NA	19.4575	"192727N"	-96.7477777777778	"0964452W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.3333333333333	17	50.3333333333333	83.8888888888889
NA	"2629458878"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Veracruz de ignacio de la llave"	"Jalancingo"	NA	NA	NA	19.9205555555556	"195514N"	-97.2244444444444	"0971328W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13.3333333333333	17	45.3333333333333	75.5555555555556
NA	"2629458919"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Colima"	"Comala"	NA	NA	NA	19.4486111111111	"192655N"	-103.693055555556	"1034135W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	17	57	95
NA	"2629459921"	NA	NA	NA	NA	NA	"Melothria"	"pendula"	"L."	NA	NA	NA	NA	NA	"MEX"	"México"	"Oaxaca"	"Dist. Teotitlan"	NA	NA	NA	18.2330555555556	"181359N"	-96.8330555555555	"0964959W"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	20	17	52	86.6666666666667
