"ACCENUMB"	"t_awc1"	"t_awc2"	"t_awc3"	"t_soilwater_cap"	"t_bulk_dens"	"t_cecsol"	"t_clay_cont"	"t_coarse_frag"	"depth_rock"	"t_oc_cont"	"t_oc_dens"	"t_oc_stock"	"r_horizon"	"t_sand_cont"	"t_awcts"	"t_silt_cont"	"sodicity"	"t_ph_hox"	"t_ph_kcl"
"1895379172"	12.0749998092651	9.35000038146973	7.77500009536743	24.375	1444.77502441406	23.0499992370605	38.3250007629395	6.90000009536743	193	11.8249998092651	144.225006103516	150	17	37.9749984741211	42.9749984741211	24.1000003814697	0	72.5500030517578	51.8499984741211
"1895774385"	13	9.97500038146973	7.90000009536743	25	1367.82495117188	24.9249992370605	39.4749984741211	11.875	110	13.6750001907349	194.25	174	61	41.625	45.7750015258789	19.3250007629395	0	73.2750015258789	52.0750007629395
"1895774387"	12.8000001907349	9.77499961853027	7.90000009536743	25.2250003814697	1358.67504882812	27.0499992370605	40.2000007629395	10.875	118	14.0749998092651	194.375	173	58	41.2249984741211	45.9000015258789	18.4500007629395	0	72.7750015258789	52.6500015258789
"1895774398"	12.7749996185303	9.89999961853027	7.90000009536743	26.8250007629395	1324.07495117188	33.125	38.6749992370605	13.875	117	30.625	230.300003051758	273	59	40.2000007629395	46.7750015258789	20.875	0	72.5500030517578	52.2000007629395
"1895774403"	14.5	11.5	9.42500019073486	28.0499992370605	1290.05004882812	36.0250015258789	35.8250007629395	41.5999984741211	93	33.1749992370605	291.774993896484	211	73	34.5499992370605	48.3499984741211	29.7000007629395	0	78.3499984741211	58.75
"1895774417"	10.7749996185303	7.97499990463257	6.75	26	1436.97497558594	23.7999992370605	38.9749984741211	22.3250007629395	123	12.1499996185303	125.875	115	76	36.7750015258789	42.7999992370605	24.5499992370605	0	58.5499992370605	46.7249984741211
"1895774423"	13	9.97500038146973	7.90000009536743	25	1367.82495117188	24.9249992370605	39.4749984741211	11.875	110	13.6750001907349	194.25	174	61	41.625	45.7750015258789	19.3250007629395	0	73.2750015258789	52.0750007629395
"1895774451"	11.1499996185303	8.22500038146973	6.77500009536743	28	1373.625	34.7750015258789	43.3250007629395	12.5749998092651	118	12.375	184.925003051758	146	58	39.5499992370605	46.125	17.4500007629395	0	72.1999969482422	50.4500007629395
"1895774471"	19	14.6499996185303	12.0249996185303	24.25	1149.375	20	34.875	8.25	199	40.9500007629395	273.424987792969	351	12	38.9000015258789	52.4749984741211	25.5750007629395	1	80.6999969482422	60.9749984741211
"1895774482"	11	8.57499980926514	7.125	26.6749992370605	1401.52502441406	23.9500007629395	39.9749984741211	27.5499992370605	128	13.375	139.649993896484	131	64	35.4749984741211	44.2000007629395	24.7749996185303	0	57.7999992370605	46.8499984741211
"1895774491"	10.7250003814697	7.94999980926514	6.52500009536743	27	1419.44995117188	28.3999996185303	41.75	40.875	82	15.7250003814697	157.324996948242	138	72	35.6749992370605	44.1749992370605	22.6749992370605	0	64.4749984741211	50.4000015258789
"1895797113"	12.8249998092651	9.75	7.75	21.0249996185303	1483.5	18.125	33.9749984741211	5.44999980926514	197	12.7749996185303	95.9000015258789	136	12	46.1500015258789	41.4000015258789	19.25	0	76.3499984741211	55.5999984741211
"1895930457"	10.9499998092651	8.25	6.75	24.7999992370605	1478.42504882812	19.4500007629395	43.9500007629395	34.1749992370605	85	10.6499996185303	109.474998474121	105	82	37.5750007629395	42.4249992370605	18.75	0	69.875	59.25
"1895967561"	12.7749996185303	9.69999980926514	7.90000009536743	26.2250003814697	1340.09997558594	24.0249996185303	37.4749984741211	15.7749996185303	182	17.875	199.100006103516	197	29	35.7999992370605	45.6749992370605	26.5750007629395	0	58.5499992370605	46.0499992370605
"1895967621"	12.8000001907349	9.77499961853027	7.77500009536743	24.8999996185303	1352.82495117188	21.2749996185303	34.6749992370605	18.4249992370605	170	18.125	172.725006103516	182	34	40.7750015258789	44.7999992370605	24.6749992370605	0	55.7999992370605	44.4000015258789
"1895967676"	11.8000001907349	8.97500038146973	7.52500009536743	25.7999992370605	1380.47497558594	23.6749992370605	37.4500007629395	12.3500003814697	189	13.9250001907349	161.125	163	32	40.2249984741211	44.5499992370605	22.4750003814697	0	57.7999992370605	46.0750007629395
"1896094127"	11.8249998092651	8.75	7.55000019073486	25	1455.27502441406	26.8250007629395	36.7750015258789	28	144	10.8000001907349	110.5	102	55	41	43.0750007629395	22.4750003814697	0	72.4749984741211	55.2750015258789
"1897335979"	12.75	9.67500019073486	7.90000009536743	26.0249996185303	1361.75	23.4750003814697	38.5499992370605	16.6749992370605	157	17.875	194.675003051758	194	43	36.7999992370605	45.5499992370605	25.3500003814697	0	61.2000007629395	48.5
"1897336017"	10.5500001907349	7.75	6.67500019073486	24.8999996185303	1483.52502441406	17.7749996185303	42.8499984741211	21.9750003814697	99	12.8500003814697	110.574996948242	110	72	36.875	41.875	20.4750003814697	0	64.5749969482422	55.1749992370605
"1897336021"	12.75	9.67500019073486	7.90000009536743	26.0249996185303	1361.75	23.4750003814697	38.5499992370605	16.6749992370605	157	17.875	194.675003051758	194	43	36.7999992370605	45.5499992370605	25.3500003814697	0	61.2000007629395	48.5
"1897336035"	11.5749998092651	8.85000038146973	7.52500009536743	26	1383.34997558594	25.125	37.4500007629395	12.125	193	13.1499996185303	151.875	153	29	39.8499984741211	44.2000007629395	23.125	0	57.5499992370605	45.7249984741211
"1897336040"	11.9750003814697	9.32499980926514	7.52500009536743	24.125	1420.77502441406	17.1000003814697	37.7999992370605	19.2999992370605	165	17.6000003814697	147.75	172	42	38.4000015258789	43.0750007629395	24.1000003814697	0	59.5499992370605	48.6500015258789
"1897533609"	12.2250003814697	9.57499980926514	7.77500009536743	26.4500007629395	1346.17504882812	27.2000007629395	36.9000015258789	11.4250001907349	168	28.5750007629395	196.5	263	39	39.4000015258789	45.5750007629395	24.0499992370605	0	60	45.8499984741211
"1897558624"	10.9499998092651	8.32499980926514	6.75	26	1453.22497558594	26.6000003814697	41	32.5750007629395	97	12.8249998092651	125.699996948242	118	71	36.5499992370605	43.0750007629395	21.8999996185303	0	68.9250030517578	54.9000015258789
"1897572755"	11.3000001907349	8.75	7.09999990463257	23.5750007629395	1461.75	13.125	40.4500007629395	23.3250007629395	145	12	97	112	56	38.0750007629395	42	21.4500007629395	0	61.375	52.0750007629395
"1897572763"	10.5500001907349	7.75	6.55000019073486	25.5750007629395	1454.80004882812	20.4750003814697	41.2999992370605	14.1999998092651	161	12.25	129.800003051758	138	43	38.7750015258789	42.4249992370605	20.6000003814697	0	57.7750015258789	48.0750007629395
